product_id,product_category,region,base_price,competitor_price,inventory,demand_score,sales_last_7_days,customer_rating,discount_percent,season,promotion,page_views,price_elasticity,recommended_price
P0109,Electronics,East,5544.73,1339.6,314,53.2,264,3.0,33.3,Regular,0,2138,1.74,4440.75
P0110,Home & Kitchen,North,1064.38,3606.1,393,43.1,168,3.3,29.0,Festival,1,7687,1.34,1383.69
P0111,Home & Kitchen,West,6147.4,8246.45,145,92.2,214,3.9,31.6,Festival,0,5361,1.34,7974.39
P0112,Electronics,South,1685.53,4690.37,160,43.1,150,4.0,11.6,Festival,1,6537,0.8,2191.19
P0113,Home & Kitchen,East,503.19,6658.33,303,43.6,16,3.4,15.5,Festival,1,6930,1.72,654.15
P0114,Sports,South,9713.27,6861.77,349,44.5,91,3.2,25.1,Summer,0,4771,0.58,9040.89
P0115,Fashion,North,7780.68,8887.55,375,85.3,120,3.2,22.1,Festival,0,3476,0.39,9067.83
P0116,Fashion,East,9805.07,3533.2,103,68.6,253,2.9,38.4,Summer,0,578,0.63,8828.32
P0117,Electronics,North,4883.21,7272.89,51,65.3,60,3.3,7.5,Monsoon,1,1974,0.76,5929.11
P0118,Beauty,North,5416.12,10103.88,491,40.1,266,3.0,14.1,Festival,0,6510,0.78,6678.92
P0119,Electronics,West,1849.7,7716.11,331,83.6,31,4.1,22.9,Monsoon,0,6026,1.44,2404.61
P0120,Beauty,South,2619.69,5235.46,426,13.5,21,3.9,34.7,Festival,1,6071,0.67,3115.33
P0121,Fashion,East,8417.78,6689.0,484,88.4,219,3.5,37.2,Monsoon,0,9602,1.45,8326.08
P0122,Electronics,North,3690.62,7813.53,71,56.1,81,3.3,13.4,Winter,0,912,0.45,4797.81
P0123,Books,North,8302.79,6498.69,66,45.8,289,3.1,2.7,Monsoon,0,4370,0.55,8564.37
P0124,Sports,East,7148.33,352.09,113,54.7,31,3.8,16.9,Summer,0,3544,1.16,5800.76
P0125,Home & Kitchen,North,1936.28,2190.06,171,70.1,234,4.8,15.8,Regular,0,6102,1.87,2097.91
P0126,Beauty,West,5172.97,8544.03,41,11.1,36,4.2,39.5,Monsoon,0,8309,1.76,6048.0
P0127,Books,West,6838.4,2993.75,123,88.4,132,4.4,17.2,Regular,1,1692,1.95,6148.68
P0128,Home & Kitchen,West,2503.36,7729.72,90,50.2,132,4.6,12.2,Winter,0,9262,1.41,3254.37
P0129,Home & Kitchen,West,8340.75,4020.28,386,40.9,9,3.4,14.6,Winter,1,5246,1.45,6780.16
P0130,Electronics,North,5539.31,5565.85,396,22.4,30,2.7,15.9,Summer,0,7049,1.36,5107.6
P0131,Home & Kitchen,East,1819.37,881.48,469,49.6,115,4.1,32.9,Summer,0,7372,1.36,1506.98
P0132,Sports,East,5913.25,2050.25,56,54.7,4,3.0,3.2,Monsoon,0,3193,0.55,5376.66
P0133,Books,East,9997.2,10058.27,95,46.3,237,3.9,12.7,Festival,0,1520,1.22,10894.32
P0134,Home & Kitchen,East,1675.11,9366.22,293,71.1,23,4.3,38.7,Winter,0,5728,0.96,2177.64
P0135,Electronics,South,8204.22,6911.48,498,47.9,16,4.5,6.1,Regular,0,1432,1.05,7316.13
P0136,Sports,East,2231.63,4923.53,341,96.5,22,3.3,29.7,Festival,0,5446,1.19,2901.12
P0137,Fashion,South,7867.41,7153.86,302,63.9,72,3.8,14.3,Winter,0,9578,0.52,8402.68
P0138,Books,South,7398.86,6564.06,208,82.7,230,4.1,23.3,Monsoon,0,7164,0.91,7871.17
P0139,Home & Kitchen,West,3144.8,6047.46,372,19.8,107,4.5,4.0,Winter,0,9484,0.41,3589.05
P0140,Electronics,South,3393.07,790.71,242,45.8,208,4.4,12.3,Summer,0,1755,1.97,2843.16
P0141,Fashion,North,7966.71,6710.52,386,40.3,208,5.0,20.0,Regular,1,6047,0.5,6722.87
P0142,Fashion,South,4722.17,8115.25,159,61.3,263,2.5,9.3,Regular,0,6113,0.74,5546.75
P0143,Beauty,West,7362.02,10438.92,244,87.5,51,3.6,21.7,Summer,0,8012,1.82,8895.81
P0144,Sports,South,1650.24,294.33,140,17.1,65,3.1,8.8,Festival,1,8146,1.12,1349.4
P0145,Home & Kitchen,North,8555.07,7715.39,411,16.5,265,2.8,26.0,Summer,0,2644,0.53,7472.36
P0146,Electronics,North,7166.67,6080.87,366,86.5,175,4.8,36.2,Regular,0,9921,0.95,7077.96
P0147,Beauty,North,9088.04,4659.42,385,29.2,152,5.0,3.4,Monsoon,0,1365,0.5,7057.68
P0148,Sports,West,1497.25,1496.52,373,70.2,266,3.0,8.7,Festival,1,8189,0.64,1587.99
P0149,Beauty,West,6011.54,4401.76,68,58.9,163,2.6,33.8,Winter,0,8809,0.39,6415.52
P0150,Books,East,6071.38,3837.17,127,85.0,238,3.2,25.3,Monsoon,1,2754,1.04,5955.13
P0151,Sports,West,3663.92,3305.2,258,21.3,199,4.6,3.1,Festival,1,9990,1.67,3603.19
P0152,Sports,North,4692.97,7722.68,481,21.7,16,3.2,19.5,Regular,0,5775,1.3,4865.02
P0153,Home & Kitchen,North,572.22,7411.49,118,60.1,296,2.6,8.4,Regular,0,4741,1.33,743.89
P0154,Sports,West,7509.43,6258.69,24,95.2,276,2.6,8.0,Monsoon,0,8889,0.64,8486.47
P0155,Beauty,South,5583.36,9867.02,20,47.3,239,3.6,37.6,Festival,0,174,0.88,7258.37
P0156,Sports,West,765.86,3790.5,149,39.4,69,4.8,30.5,Winter,0,9779,1.74,995.62
P0157,Home & Kitchen,West,6871.41,2696.04,212,64.6,6,3.2,27.8,Winter,1,5147,0.45,6192.17
P0158,Home & Kitchen,North,4774.46,6948.92,23,93.7,220,3.6,9.6,Summer,0,4857,1.76,6206.8
P0159,Books,East,537.72,2231.76,380,85.3,254,2.8,4.7,Monsoon,0,2020,1.12,699.04
P0160,Beauty,North,9702.16,3430.91,396,99.6,295,3.7,34.8,Festival,1,2812,1.72,9273.33
P0161,Fashion,East,9501.3,2497.9,170,12.0,107,4.2,0.2,Monsoon,1,5567,0.84,7125.98
P0162,Fashion,North,5226.44,893.66,42,20.2,295,3.2,15.5,Winter,1,864,0.88,4312.02
P0163,Sports,West,1117.99,8719.79,185,64.9,118,3.2,11.1,Festival,0,3151,1.58,1453.39
P0164,Books,North,7595.29,2806.86,353,83.9,168,4.6,22.8,Regular,0,1704,1.63,6630.37
P0165,Electronics,North,5020.92,5061.64,109,35.7,251,2.5,10.0,Regular,0,181,0.69,4823.29
P0166,Sports,North,3163.99,627.01,104,31.5,82,4.1,12.4,Festival,1,8472,1.95,2691.52
P0167,Books,West,5015.9,7397.18,94,80.8,54,3.5,34.0,Monsoon,0,444,0.44,6008.48
P0168,Beauty,West,5319.95,3591.39,419,15.1,240,3.2,24.1,Monsoon,1,7369,0.42,4110.35
P0169,Beauty,West,5714.57,7865.68,304,43.2,12,4.1,5.8,Regular,0,3623,1.31,6154.73
P0170,Beauty,West,4523.99,4436.0,448,55.5,209,4.6,29.1,Regular,1,9223,1.53,4044.01
P0171,Beauty,East,6136.4,2200.2,336,60.4,165,3.9,8.3,Winter,1,7156,1.93,5367.4
P0172,Beauty,East,9203.6,5475.97,405,75.6,294,2.6,17.3,Festival,1,9174,0.99,8877.46
P0173,Books,South,3750.23,1526.81,83,41.9,7,3.7,25.9,Monsoon,0,5675,0.34,3283.33
P0174,Books,West,7312.02,4726.36,77,65.1,78,3.7,10.9,Winter,0,9651,1.32,7689.93
P0175,Home & Kitchen,East,8965.64,3454.59,427,62.7,65,3.9,15.4,Monsoon,0,4678,0.79,7151.17
P0176,Fashion,North,4668.6,9591.42,430,59.3,102,4.2,29.4,Regular,0,5110,1.04,5623.45
P0177,Beauty,West,4545.87,808.78,180,67.6,300,2.5,37.5,Festival,0,7797,1.13,4334.7
P0178,Electronics,South,6100.75,7342.26,400,33.4,287,3.8,21.2,Summer,1,6319,0.41,5801.56
P0179,Books,South,5995.79,2065.99,100,17.6,171,4.0,0.4,Festival,0,6682,1.13,5347.05
P0180,Electronics,South,8104.58,3472.55,349,20.7,77,3.4,13.5,Summer,1,6805,1.02,6472.4
P0181,Electronics,North,4869.54,4468.11,107,30.2,48,4.2,15.9,Winter,0,6639,1.51,4699.94
P0182,Electronics,East,9962.0,9550.72,406,55.0,255,3.1,13.6,Summer,0,5639,1.4,9959.0
P0183,Home & Kitchen,North,782.82,2683.41,467,85.6,82,3.3,17.5,Summer,0,2554,0.61,1017.67
P0184,Books,West,231.04,1122.31,228,73.1,209,4.9,25.3,Winter,1,3083,0.65,300.35
P0185,Electronics,South,6473.94,3468.88,10,81.0,209,3.4,4.8,Festival,0,8953,0.73,7386.17
P0186,Beauty,North,3124.66,1260.26,126,41.6,84,3.4,10.9,Winter,1,3026,0.6,2643.08
P0187,Sports,North,2555.75,1507.12,240,46.4,10,4.0,20.3,Regular,0,1521,1.42,2291.97
P0188,Electronics,East,3256.61,6102.14,431,45.4,29,4.9,12.6,Regular,1,6645,1.99,3731.02
P0189,Home & Kitchen,East,2709.27,808.51,120,27.3,116,5.0,39.6,Summer,0,1192,1.41,2130.6
P0190,Books,South,501.74,499.21,167,15.5,269,3.9,17.3,Winter,0,2618,1.33,483.86
P0191,Home & Kitchen,North,9721.02,7552.75,230,63.2,47,2.5,34.8,Winter,1,1658,1.0,9537.06
P0192,Electronics,North,2363.31,3912.2,234,99.0,91,4.8,35.9,Winter,1,5602,0.83,3017.63
P0193,Books,East,7393.49,1473.87,186,25.0,53,3.9,33.4,Festival,0,1947,1.85,6144.78
P0194,Sports,North,7673.44,2797.28,253,14.2,218,3.4,1.9,Monsoon,1,2242,1.95,5857.05
P0195,Electronics,North,9306.72,6806.33,322,80.2,77,4.6,37.9,Monsoon,0,1141,1.14,9175.72
P0196,Home & Kitchen,North,499.38,3023.54,457,32.7,204,3.5,5.1,Monsoon,1,749,0.79,649.19
P0197,Fashion,East,8746.07,5283.46,214,84.7,44,2.6,1.4,Festival,0,4142,1.61,9329.1
P0198,Beauty,South,5366.82,1435.9,148,73.4,156,4.6,16.6,Winter,0,2228,0.53,5002.52
P0199,Home & Kitchen,West,6398.93,6249.13,396,95.1,2,3.9,7.8,Monsoon,0,782,1.6,6862.67
P0200,Books,South,6515.81,3441.92,349,46.8,57,3.3,7.4,Winter,1,8754,1.69,5818.54
P0201,Electronics,West,8234.02,6650.31,100,69.6,290,3.1,11.5,Summer,1,2737,0.51,8131.45
P0202,Beauty,North,3467.39,8522.64,386,51.8,58,4.0,9.9,Monsoon,0,3806,1.96,4507.61
P0203,Electronics,South,7383.9,6492.19,350,66.8,254,3.0,27.4,Summer,1,6111,1.98,7446.17
P0204,Books,West,5380.07,3232.11,248,50.5,180,3.3,7.5,Festival,0,8673,1.89,5504.81
P0205,Electronics,East,7975.26,2819.27,90,27.0,157,4.1,21.7,Regular,1,6584,1.14,5981.44
P0206,Fashion,East,9907.35,3558.98,419,55.7,35,4.7,39.5,Festival,0,5435,0.72,9007.01
P0207,Beauty,South,2166.38,1878.88,495,57.6,75,3.8,17.3,Festival,0,4544,1.29,2167.73
P0208,Beauty,South,9947.56,2049.69,398,83.0,289,4.4,25.7,Festival,0,9049,1.01,8955.78
P0209,Books,North,1080.16,8339.93,188,76.2,75,4.4,38.8,Monsoon,0,1329,0.65,1404.21
P0210,Fashion,South,222.71,4150.44,125,69.7,78,4.2,5.5,Summer,0,6588,1.02,289.52
P0211,Home & Kitchen,North,632.79,4679.47,336,20.2,255,3.1,16.7,Monsoon,1,2271,1.43,822.63
P0212,Electronics,North,3549.47,6310.59,96,74.9,265,4.7,34.0,Regular,0,5214,0.42,4425.83
P0213,Sports,East,6402.48,6265.22,74,55.0,67,3.6,37.3,Festival,1,904,0.87,7396.45
P0214,Electronics,East,876.49,875.33,408,90.5,221,2.6,24.0,Winter,1,3262,0.33,883.38
P0215,Electronics,West,255.52,8761.5,137,92.8,164,3.1,5.7,Regular,0,2636,1.57,332.18
P0216,Home & Kitchen,East,9383.49,2010.01,283,15.0,220,4.4,36.1,Summer,0,4890,1.39,7278.97
P0217,Electronics,East,8254.88,7642.1,141,83.9,172,2.7,7.0,Regular,1,2818,0.41,8579.97
P0218,Fashion,South,8130.0,8153.96,318,13.4,254,2.9,14.1,Monsoon,1,7278,1.94,7603.52
P0219,Fashion,East,8867.36,7557.76,191,43.0,210,4.2,15.0,Winter,1,3390,0.34,8559.14
P0220,Beauty,West,7060.34,6155.05,225,58.8,188,4.7,17.9,Monsoon,1,5309,1.3,6966.56
P0221,Books,South,1223.16,330.76,468,23.3,191,4.1,31.6,Festival,0,6790,1.62,984.0
P0222,Sports,West,4111.18,3899.08,442,77.2,215,3.1,32.1,Festival,1,9861,1.64,4233.47
P0223,Electronics,East,7286.86,6421.94,50,10.8,86,2.6,28.8,Regular,0,325,0.36,7187.34
P0224,Electronics,West,2947.28,4178.5,282,25.2,106,4.0,0.9,Festival,0,7248,1.84,3436.32
P0225,Home & Kitchen,South,6936.58,9091.11,196,62.3,296,2.6,22.6,Festival,1,3913,1.86,8131.48
P0226,Books,North,440.08,3366.84,12,74.3,19,4.0,29.9,Summer,1,764,1.25,572.1
P0227,Fashion,West,3200.15,3209.28,383,92.5,47,3.1,17.8,Summer,1,6104,1.12,3305.38
P0228,Sports,West,5581.48,2925.1,280,73.5,65,4.8,37.8,Monsoon,0,859,0.38,5207.27
P0229,Beauty,South,6394.48,3614.3,183,70.5,146,3.7,33.0,Monsoon,1,3776,1.26,5876.14
P0230,Fashion,South,5855.0,5932.42,338,45.5,286,3.1,25.5,Summer,1,4028,1.0,5740.67
P0231,Books,West,7038.01,7476.4,43,10.1,66,4.6,2.5,Regular,0,9103,1.61,7063.52
P0232,Beauty,East,259.67,7017.7,297,20.8,5,3.1,26.1,Summer,0,86,0.99,337.57
P0233,Home & Kitchen,West,1189.22,8515.65,182,58.1,93,3.3,36.5,Monsoon,0,8164,1.46,1545.99
P0234,Home & Kitchen,South,8715.65,9322.63,166,70.8,94,4.6,15.2,Winter,0,8696,0.47,9588.15
P0235,Electronics,North,6881.14,8601.94,335,47.6,106,3.3,33.5,Festival,0,3358,0.53,8091.14
P0236,Books,North,1306.73,375.52,378,75.8,133,3.5,12.5,Winter,0,2705,0.54,1093.72
P0237,Sports,East,8452.33,7774.67,108,57.0,79,3.4,22.8,Winter,1,1031,0.38,8462.74
P0238,Beauty,West,2573.87,2330.68,165,16.7,212,2.8,25.9,Festival,0,6497,1.22,2620.33
P0239,Fashion,North,4886.95,1551.82,291,27.3,8,2.6,27.1,Summer,0,201,1.65,4085.76
P0240,Books,West,1622.93,6769.2,127,85.6,159,4.3,35.3,Regular,0,8841,1.34,2109.81
P0241,Books,South,7159.08,3479.75,58,75.2,268,4.1,9.4,Winter,0,9564,1.28,7415.93
P0242,Home & Kitchen,North,6735.17,769.45,432,90.5,149,3.2,10.5,Regular,1,5698,1.46,5103.11
P0243,Electronics,East,2268.9,1600.34,38,20.6,91,3.2,28.2,Monsoon,0,1561,0.88,2168.44
P0244,Electronics,South,8661.33,189.59,246,99.1,236,4.9,7.1,Winter,0,2308,0.92,7607.89
P0245,Beauty,East,4132.8,9501.27,459,28.8,289,5.0,18.6,Monsoon,1,281,0.83,4880.0
P0246,Home & Kitchen,South,3066.65,434.06,382,11.1,168,3.7,0.8,Summer,0,2792,1.51,2299.99
P0247,Books,North,1692.83,2341.58,117,99.8,193,4.5,5.6,Winter,1,7891,0.57,2057.58
P0248,Sports,East,2808.45,4475.83,322,35.3,187,4.3,27.2,Monsoon,0,4512,0.32,3122.83
P0249,Home & Kitchen,East,415.86,3859.82,27,70.1,271,3.2,29.9,Monsoon,0,7799,1.31,540.62
P0250,Beauty,South,5915.92,9589.01,50,25.9,114,2.6,4.6,Summer,1,621,1.9,7013.45
P0251,Beauty,East,8453.86,595.78,316,62.2,11,2.9,9.1,Regular,0,1252,1.34,6912.04
